Team,Name,Kills,Deaths,Assists,ADR
ENCE,Spinx,49,29,8,83
ENCE,Maden,43,29,13,86
ENCE,Snappi,37,34,13,79
ENCE,hades,38,30,7,73
ENCE,dycha,30,31,15,68
Bad News Eagles,juanflatroo,46,35,3,93
Bad News Eagles,rigoN,37,45,8,75
Bad News Eagles,gxx-,31,36,6,63
Bad News Eagles,sinnopsyy,23,42,8,49
Bad News Eagles,SENER1,16,39,10,46
