Team,Name,Kills,Deaths,Assists,ADR
Spirit,magixx,21,12,3,74
Spirit,degster,20,13,4,73
Spirit,Patsi,18,20,7,77
Spirit,s1ren,15,15,1,56
Spirit,chopper,13,13,5,62
Eternal Fire,xfl0ud,17,20,4,60
Eternal Fire,XANTARES,17,15,2,64
Eternal Fire,woxic,12,15,8,50
Eternal Fire,Calyx,13,17,5,57
Eternal Fire,imoRR,13,21,4,58
