Team,Name,Kills,Deaths,Assists,ADR
Complexity,FaNg,26,18,3,96
Complexity,Junior,22,15,5,75
Complexity,floppy,19,20,5,81
Complexity,JT,19,20,2,66
Complexity,Grim,12,19,4,51
IHC,bLitz,28,20,0,99
IHC,nin9,23,15,0,81
IHC,kabal,12,20,2,64
IHC,Techno4k,15,22,3,62
IHC,sk0R,14,21,2,58
