Team,Name,Kills,Deaths,Assists,ADR
FORZE,KENSI,26,12,1,94
FORZE,zorte,20,13,9,96
FORZE,shalfey,22,15,3,93
FORZE,Jerry,19,16,1,75
FORZE,Norwi,14,16,5,64
Renegades,Liazz,16,21,2,80
Renegades,Hatz,13,20,7,72
Renegades,aliStair,17,20,1,56
Renegades,INS,14,21,2,62
Renegades,Sico,11,20,1,49
