Team,Name,Kills,Deaths,Assists,ADR
FURIA,drop,21,15,3,86
FURIA,KSCERATO,17,14,4,79
FURIA,arT,16,16,8,80
FURIA,yuurih,16,16,4,76
FURIA,VINI,11,13,3,37
MOUZ,frozen,18,16,0,95
MOUZ,ropz,21,17,4,79
MOUZ,Bymas,18,14,2,77
MOUZ,acoR,12,18,4,49
MOUZ,dexter,5,16,7,42
