Team,Name,Kills,Deaths,Assists,ADR
MIBR,Tuurtle,20,20,6,80
MIBR,JOTA,23,22,4,69
MIBR,chelo,17,18,7,72
MIBR,WOOD7,14,16,6,65
MIBR,exit,17,14,10,49
9z,max,25,22,6,95
9z,dgt,22,15,2,70
9z,dav1deuS,17,20,3,69
9z,rox,15,17,7,66
9z,Luken,9,18,5,33
