Team,Name,Kills,Deaths,Assists,ADR
Astralis,gla1ve,64,57,20,86
Astralis,Magisk,60,57,6,71
Astralis,dupreeh,51,55,14,71
Astralis,Lucky,54,62,16,63
Astralis,Xyp9x,43,64,15,69
Vitality,ZywOo,80,46,12,92
Vitality,apEX,61,62,18,92
Vitality,Kyojin,56,50,14,70
Vitality,misutaaa,52,61,12,68
Vitality,shox,44,55,14,59
