Team,Name,Kills,Deaths,Assists,ADR
Liquid,YEKINDAR,40,35,10,83
Liquid,NAF,33,30,4,73
Liquid,EliGE,30,36,3,67
Liquid,nitr0,26,38,11,62
Liquid,oSee,30,27,6,52
Apeks,kyxsan,44,32,14,87
Apeks,nawwk,34,22,6,63
Apeks,STYKO,35,35,8,86
Apeks,jkaem,33,35,8,69
Apeks,jL,19,36,11,54
