Team,Name,Kills,Deaths,Assists,ADR
Apeks,jkaem,63,48,9,97
Apeks,kyxsan,51,45,15,85
Apeks,jL,47,43,16,76
Apeks,nawwk,45,37,5,63
Apeks,STYKO,40,48,14,67
Ninjas in Pyjamas,headtr1ck,59,46,10,78
Ninjas in Pyjamas,Aleksib,48,46,11,70
Ninjas in Pyjamas,Brollan,44,51,11,74
Ninjas in Pyjamas,REZ,34,48,9,62
Ninjas in Pyjamas,k0nfig,36,56,11,73
