Team,Name,Kills,Deaths,Assists,ADR
Natus Vincere,jL,37,24,4,87
Natus Vincere,b1t,37,28,6,83
Natus Vincere,iM,29,28,8,78
Natus Vincere,Aleksib,25,28,9,67
Natus Vincere,w0nderful,27,31,6,62
paiN,biguzera,32,31,7,78
paiN,lux,29,34,12,74
paiN,nqz,24,26,11,69
paiN,n1ssim,27,30,3,58
paiN,kauez,25,34,5,56
