Stage,Team,Matches,Rounds,RD,Round 1,Round 2,Round 3,Round 4,Round 5
Opening Stage,FORZE Esports,2-3,94-100,-6,Grayhound Gaming,Team Liquid,Monte,FaZe Clan,GamerLegion
Opening Stage,Grayhound Gaming,2-3,73-104,-31,FORZE Esports,Apeks,The MongolZ,Ninjas in Pyjamas,Team Liquid
Opening Stage,paiN Gaming,2-3,107-109,-2,Fluxo,FaZe Clan,Complexity Gaming,Apeks,Monte
Opening Stage,Complexity Gaming,1-3,43-75,-32,GamerLegion,G2 Esports,paiN Gaming,Team Liquid,
Opening Stage,The MongolZ,1-3,62-75,-13,G2 Esports,GamerLegion,Grayhound Gaming,Monte,
Opening Stage,OG,1-3,75-86,-11,ENCE,MOUZ,Ninjas in Pyjamas,GamerLegion,
Opening Stage,MOUZ,0-3,37-64,-27,Ninjas in Pyjamas,OG,GamerLegion,,
Opening Stage,Fluxo,0-3,53-75,-22,paiN Gaming,Monte,Team Liquid,,
Elimination Stage,HEROIC,3-0,75-56,19,FaZe Clan,Apeks,Team Liquid,,
Elimination Stage,Team Vitality,3-0,64-49,15,G2 Esports,ENCE,Monte,,
Elimination Stage,Team Liquid,3-1,106-86,20,9INE,Natus Vincere,HEROIC,Into The Breach,
Elimination Stage,Monte,3-1,90-70,20,FURIA Esports,Fnatic,Team Vitality,Natus Vincere,
Elimination Stage,GamerLegion,3-1,74-55,19,Natus Vincere,9INE,Fnatic,Apeks,
Elimination Stage,Apeks,3-2,95-97,-2,Into The Breach,HEROIC,Bad News Eagles,GamerLegion,Ninjas in Pyjamas
Elimination Stage,Into The Breach,3-2,112-98,14,Apeks,FaZe Clan,ENCE,Team Liquid,Fnatic
Elimination Stage,FaZe Clan,3-2,140-137,3,HEROIC,Into The Breach,9INE,Bad News Eagles,Natus Vincere
Elimination Stage,Natus Vincere,2-3,94-118,-24,GamerLegion,Team Liquid,Ninjas in Pyjamas,Monte,FaZe Clan
Elimination Stage,Fnatic,2-3,120-133,-13,Ninjas in Pyjamas,Monte,GamerLegion,G2 Esports,Into The Breach
Elimination Stage,Ninjas in Pyjamas,2-3,101-95,6,Fnatic,FURIA Esports,Natus Vincere,ENCE,Apeks
Elimination Stage,ENCE,1-3,53-73,-20,Bad News Eagles,Team Vitality,Into The Breach,Ninjas in Pyjamas,
Elimination Stage,Bad News Eagles,1-3,78-83,-5,ENCE,G2 Esports,Apeks,FaZe Clan,
Elimination Stage,G2 Esports,1-3,101-95,6,Team Vitality,Bad News Eagles,FURIA Esports,Fnatic,
Elimination Stage,9INE,0-3,40-64,-24,Team Liquid,GamerLegion,FaZe Clan,,
Elimination Stage,FURIA Esports,0-3,30-64,-34,Monte,Ninjas in Pyjamas,G2 Esports,,
Playoff Stage,Team Vitality,3-0,96-68,28,Into The Breach,Apeks,GamerLegion,,
Playoff Stage,GamerLegion,2-1,96-81,15,Monte,HEROIC,Team Vitality,,
Playoff Stage,HEROIC,1-1,80-81,-1,FaZe Clan,GamerLegion,,,
Playoff Stage,Apeks,1-1,58-53,5,Team Liquid,Team Vitality,,,
Playoff Stage,FaZe Clan,0-1,36-44,-8,HEROIC,,,,
Playoff Stage,Monte,0-1,13-32,-19,GamerLegion,,,,
Playoff Stage,Team Liquid,0-1,21-32,-11,Apeks,,,,
Playoff Stage,Into The Breach,0-1,23-32,-9,Team Vitality,,,,
Opening Stage,HEROIC,3-0,58-40,18,Lynn Vision Gaming,Imperial Esports,Eternal Fire,,
Opening Stage,Cloud9,3-0,58-46,12,ECSTATIC,Legacy,SAW,,
Opening Stage,Eternal Fire,3-1,77-63,14,The MongolZ,paiN Gaming,HEROIC,GamerLegion,
Opening Stage,ECSTATIC,3-1,72-57,15,Cloud9,The MongolZ,Lynn Vision Gaming,Imperial Esports,
Opening Stage,paiN Gaming,3-1,54-41,13,Apeks,Eternal Fire,ENCE,SAW,
Opening Stage,Imperial Esports,3-2,113-105,8,ENCE,HEROIC,Apeks,ECSTATIC,GamerLegion
Opening Stage,The MongolZ,3-2,102-80,22,Eternal Fire,ECSTATIC,AMKAL ESPORTS,Lynn Vision Gaming,Legacy
Opening Stage,FURIA Esports,3-2,100-75,25,Legacy,Lynn Vision Gaming,KOI,ENCE,SAW
Opening Stage,SAW,2-3,83-97,-14,KOI,GamerLegion,Cloud9,paiN Gaming,FURIA Esports
Opening Stage,Legacy,2-3,71-79,-8,FURIA Esports,Cloud9,GamerLegion,Apeks,The MongolZ
Opening Stage,GamerLegion,2-3,88-93,-5,AMKAL ESPORTS,SAW,Legacy,Eternal Fire,Imperial Esports
Opening Stage,Lynn Vision Gaming,1-3,40-61,-21,HEROIC,FURIA Esports,ECSTATIC,The MongolZ,
Opening Stage,ENCE,1-3,55-73,-18,Imperial Esports,KOI,paiN Gaming,FURIA Esports,
Opening Stage,Apeks,1-3,45-65,-20,paiN Gaming,AMKAL ESPORTS,Imperial Esports,Legacy,
Opening Stage,AMKAL ESPORTS,0-3,46-63,-17,GamerLegion,Apeks,The MongolZ,,
Opening Stage,KOI,0-3,31-55,-24,SAW,ENCE,FURIA Esports,,
Elimination Stage,Team Spirit,3-0,65-41,24,Cloud9,Imperial Esports,Natus Vincere,,
Elimination Stage,MOUZ,3-0,52-25,27,ECSTATIC,Eternal Fire,Complexity Gaming,,
Elimination Stage,Eternal Fire,3-1,69-50,19,Team Vitality,MOUZ,FaZe Clan,Virtus.pro,
Elimination Stage,Cloud9,3-1,73-49,24,Team Spirit,ECSTATIC,G2 Esports,Natus Vincere,
Elimination Stage,Team Vitality,3-1,75-70,5,Eternal Fire,The MongolZ,Imperial Esports,Complexity Gaming,
Elimination Stage,Natus Vincere,3-2,108-119,-11,The MongolZ,G2 Esports,Team Spirit,Cloud9,paiN Gaming
Elimination Stage,G2 Esports,3-2,110-90,20,FURIA Esports,Natus Vincere,Cloud9,ECSTATIC,Virtus.pro
Elimination Stage,FaZe Clan,3-2,84-74,10,HEROIC,FURIA Esports,Eternal Fire,Imperial Esports,Complexity Gaming
Elimination Stage,Complexity Gaming,2-3,86-117,-31,paiN Gaming,HEROIC,MOUZ,Team Vitality,FaZe Clan
Elimination Stage,Virtus.pro,2-3,91-100,-9,Imperial Esports,paiN Gaming,HEROIC,Eternal Fire,G2 Esports
Elimination Stage,paiN Gaming,2-3,107-109,-2,Complexity Gaming,Virtus.pro,The MongolZ,HEROIC,Natus Vincere
Elimination Stage,Imperial Esports,1-3,53-66,-13,Virtus.pro,Team Spirit,Team Vitality,FaZe Clan,
Elimination Stage,ECSTATIC,1-3,82-93,-11,MOUZ,Cloud9,FURIA Esports,G2 Esports,
Elimination Stage,HEROIC,1-3,51-68,-17,FaZe Clan,Complexity Gaming,Virtus.pro,paiN Gaming,
Elimination Stage,The MongolZ,0-3,61-70,-9,Natus Vincere,Team Vitality,paiN Gaming,,
Elimination Stage,FURIA Esports,0-3,40-66,-26,G2 Esports,FaZe Clan,ECSTATIC,,
Playoff Stage,Natus Vincere,3-0,93-84,9,Eternal Fire,G2 Esports,FaZe Clan,,
Playoff Stage,FaZe Clan,2-1,101-96,5,Team Spirit,Team Vitality,Natus Vincere,,
Playoff Stage,Team Vitality,1-1,54-41,13,Cloud9,FaZe Clan,,,
Playoff Stage,G2 Esports,1-1,63-51,12,MOUZ,Natus Vincere,,,
Playoff Stage,Team Spirit,0-1,40-45,-5,FaZe Clan,,,,
Playoff Stage,Cloud9,0-1,10-26,-16,Team Vitality,,,,
Playoff Stage,Eternal Fire,0-1,22-29,-7,Natus Vincere,,,,
Playoff Stage,MOUZ,0-1,15-26,-11,G2 Esports,,,,
