,,Team,Matches,Rounds,RD,Round 1,Round 2,Round 3,Round 4,Round 5
Opening Stage,0,HEROIC,3-0,58-40,+18,Lynn Vision Gaming,Imperial Esports,Eternal Fire,,
Opening Stage,1,Cloud9,3-0,58-46,+12,ECSTATIC,Legacy,SAW,,
Opening Stage,2,Eternal Fire,3-1,77-63,+14,The MongolZ,paiN Gaming,HEROIC,GamerLegion,
Opening Stage,3,ECSTATIC,3-1,72-57,+15,Cloud9,The MongolZ,Lynn Vision Gaming,Imperial Esports,
Opening Stage,4,paiN Gaming,3-1,54-41,+13,Apeks,Eternal Fire,ENCE,SAW,
Opening Stage,5,Imperial Esports,3-2,113-105,+8,ENCE,HEROIC,Apeks,ECSTATIC,GamerLegion
Opening Stage,6,The MongolZ,3-2,102-80,+22,Eternal Fire,ECSTATIC,AMKAL ESPORTS,Lynn Vision Gaming,Legacy
Opening Stage,7,FURIA Esports,3-2,100-75,+25,Legacy,Lynn Vision Gaming,KOI,ENCE,SAW
Opening Stage,8,SAW,2-3,83-97,-14,KOI,GamerLegion,Cloud9,paiN Gaming,FURIA Esports
Opening Stage,9,Legacy,2-3,71-79,-8,FURIA Esports,Cloud9,GamerLegion,Apeks,The MongolZ
Opening Stage,10,GamerLegion,2-3,88-93,-5,AMKAL ESPORTS,SAW,Legacy,Eternal Fire,Imperial Esports
Opening Stage,11,Lynn Vision Gaming,1-3,40-61,-21,HEROIC,FURIA Esports,ECSTATIC,The MongolZ,
Opening Stage,12,ENCE,1-3,55-73,-18,Imperial Esports,KOI,paiN Gaming,FURIA Esports,
Opening Stage,13,Apeks,1-3,45-65,-20,paiN Gaming,AMKAL ESPORTS,Imperial Esports,Legacy,
Opening Stage,14,AMKAL ESPORTS,0-3,46-63,-17,GamerLegion,Apeks,The MongolZ,,
Opening Stage,15,KOI,0-3,31-55,-24,SAW,ENCE,FURIA Esports,,
Elimination Stage,0,Team Spirit,3-0,65-41,+24,Cloud9,Imperial Esports,Natus Vincere,,
Elimination Stage,1,MOUZ,3-0,52-25,+27,ECSTATIC,Eternal Fire,Complexity Gaming,,
Elimination Stage,2,Eternal Fire,3-1,69-50,+19,Team Vitality,MOUZ,FaZe Clan,Virtus.pro,
Elimination Stage,3,Cloud9,3-1,73-49,+24,Team Spirit,ECSTATIC,G2 Esports,Natus Vincere,
Elimination Stage,4,Team Vitality,3-1,75-70,+5,Eternal Fire,The MongolZ,Imperial Esports,Complexity Gaming,
Elimination Stage,5,Natus Vincere,3-2,108-119,-11,The MongolZ,G2 Esports,Team Spirit,Cloud9,paiN Gaming
Elimination Stage,6,G2 Esports,3-2,110-90,+20,FURIA Esports,Natus Vincere,Cloud9,ECSTATIC,Virtus.pro
Elimination Stage,7,FaZe Clan,3-2,84-74,+10,HEROIC,FURIA Esports,Eternal Fire,Imperial Esports,Complexity Gaming
Elimination Stage,8,Complexity Gaming,2-3,86-117,-31,paiN Gaming,HEROIC,MOUZ,Team Vitality,FaZe Clan
Elimination Stage,9,Virtus.pro,2-3,91-100,-9,Imperial Esports,paiN Gaming,HEROIC,Eternal Fire,G2 Esports
Elimination Stage,10,paiN Gaming,2-3,107-109,-2,Complexity Gaming,Virtus.pro,The MongolZ,HEROIC,Natus Vincere
Elimination Stage,11,Imperial Esports,1-3,53-66,-13,Virtus.pro,Team Spirit,Team Vitality,FaZe Clan,
Elimination Stage,12,ECSTATIC,1-3,82-93,-11,MOUZ,Cloud9,FURIA Esports,G2 Esports,
Elimination Stage,13,HEROIC,1-3,51-68,-17,FaZe Clan,Complexity Gaming,Virtus.pro,paiN Gaming,
Elimination Stage,14,The MongolZ,0-3,61-70,-9,Natus Vincere,Team Vitality,paiN Gaming,,
Elimination Stage,15,FURIA Esports,0-3,40-66,-26,G2 Esports,FaZe Clan,ECSTATIC,,
Playoff Stage,0,Natus Vincere,3-0,93-84,9,Eternal Fire,G2 Esports,FaZe Clan,,
Playoff Stage,1,FaZe Clan,2-1,101-96,5,Team Spirit,Team Vitality,Natus Vincere,,
Playoff Stage,2,Team Vitality,1-1,54-41,13,Cloud9,FaZe Clan,,,
Playoff Stage,3,G2 Esports,1-1,63-51,12,MOUZ,Natus Vincere,,,
Playoff Stage,4,Team Spirit,0-1,40-45,-5,FaZe Clan,,,,
Playoff Stage,5,Cloud9,0-1,10-26,-16,Team Vitality,,,,
Playoff Stage,6,Eternal Fire,0-1,22-29,-7,Natus Vincere,,,,
Playoff Stage,7,MOUZ,0-1,15-26,-11,G2 Esports,,,,
