,,Team,Matches,Rounds,RD,Round 1,Round 2,Round 3,Round 4,Round 5
Opening Stage,0,FaZe Clan,3-0,64-43,+21,Team Spirit,ENCE,Virtus.pro,,
Opening Stage,1,Copenhagen Flames,3-0,75-52,+23,Astralis,BIG,HEROIC,,
Opening Stage,2,ENCE,3-1,86-71,+15,GODSENT,FaZe Clan,MOUZ,BIG,
Opening Stage,3,Entropiq,3-1,87-68,+19,BIG,Astralis,Movistar Riders,HEROIC,
Opening Stage,4,Virtus.pro,3-1,99-96,+3,paiN Gaming,Movistar Riders,FaZe Clan,Team Spirit,
Opening Stage,5,HEROIC,3-2,133-129,+4,TYLOO,MOUZ,Copenhagen Flames,Entropiq,Movistar Riders
Opening Stage,6,Astralis,3-2,111-90,+21,Copenhagen Flames,Entropiq,GODSENT,paiN Gaming,Team Spirit
Opening Stage,7,MOUZ,3-2,126-110,+16,Sharks Esports,HEROIC,ENCE,Renegades,BIG
Opening Stage,8,BIG,2-3,117-122,-5,Entropiq,Copenhagen Flames,Renegades,ENCE,MOUZ
Opening Stage,9,Team Spirit,2-3,101-110,-9,FaZe Clan,GODSENT,TYLOO,Virtus.pro,Astralis
Opening Stage,10,Movistar Riders,2-3,103-123,-20,Renegades,Virtus.pro,Entropiq,TYLOO,HEROIC
Opening Stage,11,paiN Gaming,1-3,106-110,-4,Virtus.pro,Renegades,Sharks Esports,Astralis,
Opening Stage,12,Renegades,1-3,70-92,-22,Movistar Riders,paiN Gaming,BIG,MOUZ,
Opening Stage,13,TYLOO,1-3,77-88,-11,HEROIC,Sharks Esports,Team Spirit,Movistar Riders,
Opening Stage,14,GODSENT,0-3,36-64,-28,ENCE,Team Spirit,Astralis,,
Opening Stage,15,Sharks Esports,0-3,63-86,-23,MOUZ,TYLOO,paiN Gaming,,
Elimination Stage,0,Natus Vincere,3-0,64-33,+31,HEROIC,Virtus.pro,Ninjas in Pyjamas,,
Elimination Stage,1,G2 Esports,3-0,64-40,+24,Copenhagen Flames,FaZe Clan,Entropiq,,
Elimination Stage,2,HEROIC,3-1,88-66,+22,Natus Vincere,Team Vitality,Astralis,Copenhagen Flames,
Elimination Stage,3,Gambit Esports,3-1,73-56,+17,ENCE,Entropiq,Virtus.pro,Ninjas in Pyjamas,
Elimination Stage,4,FURIA Esports,3-1,82-68,+14,Astralis,MOUZ,Team Liquid,Entropiq,
Elimination Stage,5,Virtus.pro,3-2,126-124,+2,Team Vitality,Natus Vincere,Gambit Esports,MOUZ,FaZe Clan
Elimination Stage,6,Ninjas in Pyjamas,3-2,114-123,-9,MOUZ,Astralis,Natus Vincere,Gambit Esports,Copenhagen Flames
Elimination Stage,7,Team Vitality,3-2,162-139,+23,Virtus.pro,HEROIC,Evil Geniuses,Astralis,Entropiq
Elimination Stage,8,Entropiq,2-3,123-135,-12,Team Liquid,Gambit Esports,G2 Esports,FURIA Esports,Team Vitality
Elimination Stage,9,Copenhagen Flames,2-3,120-114,+6,G2 Esports,Evil Geniuses,FaZe Clan,HEROIC,Ninjas in Pyjamas
Elimination Stage,10,FaZe Clan,2-3,108-110,-2,Evil Geniuses,G2 Esports,Copenhagen Flames,Team Liquid,Virtus.pro
Elimination Stage,11,Astralis,1-3,63-88,-25,FURIA Esports,Ninjas in Pyjamas,HEROIC,Team Vitality,
Elimination Stage,12,MOUZ,1-3,90-95,-5,Ninjas in Pyjamas,FURIA Esports,ENCE,Virtus.pro,
Elimination Stage,13,Team Liquid,1-3,61-78,-17,Entropiq,ENCE,FURIA Esports,FaZe Clan,
Elimination Stage,14,Evil Geniuses,0-3,41-77,-36,FaZe Clan,Copenhagen Flames,Team Vitality,,
Elimination Stage,15,ENCE,0-3,31-64,-33,Gambit Esports,Team Liquid,MOUZ,,
Playoff Stage,0,Natus Vincere,3-0,102-65,37,Team Vitality,Gambit Esports,G2 Esports,,
Playoff Stage,1,G2 Esports,2-1,109-101,8,Ninjas in Pyjamas,Heroic,Natus Vincere,,
Playoff Stage,2,Gambit Esports,1-1,46-59,-13,FURIA Esports,Natus Vincere,,,
Playoff Stage,3,HEROIC,1-1,86-85,1,Virtus.pro,G2 Esports,,,
Playoff Stage,4,Team Vitality,0-1,24-32,-8,Natus Vincere,,,,
Playoff Stage,5,FURIA Esports,0-1,27-35,-8,Gambit Esports,,,,
Playoff Stage,6,Virtus.pro,0-1,38-45,-7,Heroic,,,,
Playoff Stage,7,Ninjas in Pyjamas,0-1,22-32,-10,G2 Esports,,,,
